Name,gdpcap_2022ppp,id,Country,gdp_2022,pop_2022,ppp_2022
Newfoundland and Labrador,62.16043198,CA-NL,Canada,40999.087,525972,1.254
Prince Edward Island,44.09370517,CA-PE,Canada,9437.938,170688,1.254
Nova Scotia,44.0580874,CA-NS,Canada,56338.625,1019725,1.254
New Brunswick,45.35594722,CA-NB,Canada,46187.072,812061,1.254
Quebec,50.65665551,CA-QC,Canada,552378.225,8695659,1.254
Ontario,55.44164104,CA-ON,Canada,1050464.286,15109416,1.254
Manitoba,49.64875047,CA-MB,Canada,87737.566,1409223,1.254
Saskatchewan,71.02768816,CA-SK,Canada,106419.575,1194803,1.254
Alberta,80.45742329,CA-AB,Canada,458370.864,4543111,1.254
British Columbia,56.92249275,CA-BC,Canada,379697.634,5319324,1.254
Alabama,54.7499594,US-AL,USA,277817.5,5074296,1
Alaska,86.72229318,US-AK,USA,63618,733583,1
Arizona,62.36411391,US-AZ,USA,458949.8,7359197,1
Arkansas,54.24829026,US-AR,USA,165220.6,3045637,1
California,92.18968385,US-CA,USA,3598102.7,39029342,1
Colorado,82.94137631,US-CO,USA,484371.5,5839926,1
Connecticut,88.75521378,US-CT,USA,321844.6,3626205,1
Delaware,85.94377826,US-DE,USA,87524.8,1018396,1
District of Columbia,241.6101149,US-DC,USA,162314.4,671803,1
Florida,62.44462813,US-FL,USA,1389069.7,22244823,1
Georgia,69.24828065,US-GA,USA,755697.9,10912876,1
Hawaii,68.19821746,US-HI,USA,98218.8,1440196,1
Idaho,56.49542839,US-ID,USA,109546.5,1939033,1
Illinois,82.12585217,US-IL,USA,1033310.1,12582032,1
Indiana,66.69804364,US-IN,USA,455750.2,6833037,1
Iowa,72.20952115,US-IA,USA,231107.8,3200517,1
Kansas,71.72616312,US-KS,USA,210670.5,2937150,1
Kentucky,57.68754806,US-KY,USA,260304.1,4512310,1
Louisiana,61.31035386,US-LA,USA,281429.3,4590241,1
Maine,60.994052,US-ME,USA,84497.5,1385340,1
Maryland,76.27137587,US-MD,USA,470187.1,6164660,1
Massachusetts,98.59555478,US-MA,USA,688391.6,6981974,1
Michigan,61.85854196,US-MI,USA,620695.6,10034113,1
Minnesota,78.0978013,US-MN,USA,446499.5,5717184,1
Mississippi,47.18945925,US-MS,USA,138739.7,2940057,1
Missouri,63.11652865,US-MO,USA,389931.2,6177957,1
Montana,57.90044591,US-MT,USA,65014.5,1122867,1
Nebraska,82.16886535,US-NE,USA,161702,1967923,1
Nevada,67.94628438,US-NV,USA,215917.8,3177772,1
New Hampshire,75.55336715,US-NH,USA,105414.4,1395231,1
New Jersey,80.48439061,US-NJ,USA,745422.2,9261699,1
New Mexico,57.78273674,US-NM,USA,122114.8,2113344,1
New York,104.3433422,US-NY,USA,2053179.7,19677151,1
North Carolina,68.23761496,US-NC,USA,730072.4,10698973,1
North Dakota,94.0212586,US-ND,USA,73267.1,779261,1
Ohio,69.9783635,US-OH,USA,822669.7,11756058,1
Oklahoma,59.83737997,US-OK,USA,240534.3,4019800,1
Oregon,70.54618754,US-OR,USA,299125.5,4240137,1
Pennsylvania,71.16005479,US-PA,USA,923088.8,12972008,1
Rhode Island,65.28296643,US-RI,USA,71402.2,1093734,1
South Carolina,56.01003212,US-SC,USA,295880.5,5282634,1
South Dakota,74.26788038,US-SD,USA,67570.7,909824,1
Tennessee,67.47017836,US-TN,USA,475755.1,7051339,1
Texas,78.45465463,US-TX,USA,2355959.7,30029572,1
Utah,73.40756626,US-UT,USA,248176.3,3380800,1
Vermont,62.77137965,US-VT,USA,40617.1,647064,1
Virginia,74.78363572,US-VA,USA,649392.6,8683619,1
Washington,93.18436186,US-WA,USA,725513.5,7785786,1
West Virginia,53.84788717,US-WV,USA,95588.4,1775156,1
Wisconsin,68.18648124,US-WI,USA,401791.5,5892539,1
Wyoming,81.58591354,US-WY,USA,47432.5,581381,1
,,,,,,
US Average,75.95967437,,,,,
CDN Average,57.30183342,,,,,
,0.325606352,,,,,
,,,,,,
median us,69.9783635,,,,,
